iter	Passed	Remaining
0	184	184142
1	186	92952
2	188	62577
3	190	47390
4	192	38265
5	194	32199
6	196	27871
7	198	24602
8	200	22087
9	202	20078
10	204	18407
11	206	17023
12	209	15868
13	211	14862
14	213	13993
15	215	13238
16	217	12565
17	219	11968
18	221	11429
19	223	10942
20	225	10512
21	227	10118
22	229	9763
23	231	9432
24	234	9133
25	236	8853
26	238	8594
27	240	8349
28	242	8121
29	244	7915
30	247	7721
31	249	7532
32	251	7359
33	253	7199
34	255	7042
35	257	6893
36	259	6752
37	261	6626
38	263	6500
39	265	6383
40	268	6268
41	270	6167
42	272	6067
43	274	5970
44	276	5871
45	278	5783
46	281	5699
47	283	5615
48	285	5536
49	287	5453
50	289	5381
51	291	5312
52	293	5248
53	296	5185
54	298	5120
55	300	5062
56	302	5003
57	304	4946
58	306	4890
59	308	4836
60	310	4785
61	313	4737
62	315	4688
63	317	4640
64	319	4596
65	321	4552
66	323	4508
67	325	4456
68	327	4418
69	329	4382
70	331	4343
71	334	4306
72	336	4268
73	338	4231
74	340	4200
75	342	4165
76	344	4129
77	346	4093
78	348	4059
79	349	4024
80	351	3991
81	353	3958
82	355	3928
83	357	3897
84	358	3859
85	360	3831
86	361	3797
87	363	3770
88	365	3745
89	368	3721
90	370	3697
91	372	3674
92	374	3649
93	376	3625
94	378	3602
95	382	3599
96	386	3595
97	390	3590
98	393	3580
99	396	3568
100	399	3559
101	401	3536
102	404	3525
103	408	3516
104	411	3509
105	414	3497
106	418	3488
107	421	3478
108	424	3469
109	427	3461
110	430	3444
111	432	3427
112	434	3410
113	436	3391
114	438	3373
115	439	3351
116	441	3333
117	443	3315
118	445	3295
119	447	3278
120	448	3261
121	450	3243
122	451	3220
123	453	3204
124	455	3186
125	457	3173
126	459	3157
127	460	3137
128	462	3123
129	464	3109
130	466	3094
131	468	3081
132	470	3069
133	472	3056
134	474	3041
135	476	3028
136	478	3016
137	480	3001
138	482	2990
139	484	2978
140	487	2967
141	489	2955
142	491	2945
143	493	2935
144	495	2923
145	497	2912
146	499	2900
147	502	2890
148	504	2879
149	506	2868
150	508	2857
151	510	2845
152	512	2834
153	514	2824
154	516	2813
155	518	2803
156	520	2793
157	522	2784
158	524	2775
159	526	2765
160	528	2756
161	531	2746
162	533	2738
163	535	2729
164	537	2722
165	540	2714
166	542	2705
167	544	2697
168	546	2688
169	548	2679
170	551	2671
171	553	2663
172	555	2655
173	557	2647
174	559	2639
175	561	2630
176	564	2623
177	566	2616
178	569	2609
179	571	2602
180	572	2590
181	574	2582
182	577	2576
183	579	2570
184	582	2564
185	584	2557
186	586	2549
187	588	2542
188	590	2534
189	592	2526
190	595	2520
191	597	2512
192	599	2505
193	601	2498
194	603	2490
195	605	2483
196	607	2478
197	610	2471
198	612	2464
199	614	2457
200	616	2450
201	618	2443
202	620	2436
203	622	2428
204	624	2421
205	626	2414
206	628	2407
207	630	2400
208	632	2393
209	634	2386
210	636	2380
211	638	2375
212	641	2368
213	643	2362
214	645	2355
215	647	2349
216	649	2343
217	651	2336
218	653	2330
219	655	2324
220	657	2318
221	659	2311
222	661	2305
223	663	2299
224	665	2293
225	667	2287
226	669	2280
227	671	2273
228	673	2267
229	675	2260
230	677	2254
231	679	2248
232	681	2242
233	683	2236
234	685	2230
235	686	2223
236	688	2217
237	690	2210
238	692	2204
239	694	2198
240	696	2192
241	697	2185
242	699	2179
243	701	2173
244	703	2166
245	704	2160
246	706	2154
247	708	2148
248	710	2142
249	712	2136
250	713	2130
251	715	2123
252	717	2117
253	719	2111
254	720	2106
255	722	2100
256	724	2094
257	726	2089
258	728	2084
259	730	2078
260	732	2072
261	733	2067
262	735	2062
263	738	2057
264	740	2053
265	742	2047
266	743	2042
267	745	2036
268	747	2031
269	749	2025
270	750	2020
271	752	2014
272	754	2010
273	756	2005
274	758	1999
275	760	1994
276	762	1989
277	763	1983
278	765	1979
279	767	1974
280	769	1968
281	771	1964
282	773	1959
283	775	1954
284	777	1949
285	778	1944
286	780	1939
287	782	1935
288	784	1930
289	786	1925
290	788	1920
291	790	1915
292	792	1911
293	794	1906
294	795	1901
295	797	1896
296	799	1891
297	801	1887
298	802	1882
299	804	1877
300	806	1872
301	807	1867
302	809	1862
303	811	1858
304	813	1853
305	815	1848
306	817	1844
307	818	1839
308	820	1834
309	822	1830
310	824	1825
311	825	1821
312	827	1816
313	829	1811
314	831	1807
315	832	1803
316	834	1798
317	836	1793
318	838	1789
319	840	1785
320	842	1781
321	843	1776
322	845	1772
323	847	1768
324	849	1763
325	851	1759
326	853	1755
327	855	1751
328	856	1747
329	858	1743
330	860	1739
331	862	1734
332	864	1730
333	866	1727
334	868	1723
335	869	1719
336	872	1715
337	874	1712
338	876	1708
339	877	1704
340	879	1700
341	881	1696
342	883	1693
343	885	1689
344	887	1685
345	889	1681
346	891	1677
347	893	1673
348	895	1669
349	896	1665
350	898	1661
351	900	1657
352	902	1653
353	903	1649
354	905	1645
355	907	1641
356	909	1637
357	910	1633
358	912	1629
359	914	1625
360	916	1621
361	917	1617
362	919	1614
363	921	1610
364	923	1606
365	925	1602
366	926	1598
367	928	1595
368	930	1591
369	932	1588
370	934	1585
371	936	1581
372	938	1577
373	940	1574
374	942	1570
375	944	1566
376	945	1563
377	947	1559
378	949	1556
379	951	1552
380	953	1549
381	955	1546
382	957	1542
383	959	1538
384	961	1535
385	962	1531
386	964	1528
387	966	1525
388	968	1521
389	970	1518
390	972	1515
391	974	1511
392	976	1508
393	978	1505
394	980	1502
395	983	1499
396	984	1495
397	986	1492
398	988	1489
399	990	1485
400	992	1482
401	994	1479
402	996	1475
403	997	1472
404	999	1468
405	1001	1465
406	1003	1461
407	1005	1458
408	1007	1455
409	1008	1451
410	1010	1448
411	1012	1445
412	1014	1441
413	1016	1438
414	1018	1435
415	1019	1431
416	1021	1428
417	1023	1425
418	1025	1422
419	1027	1418
420	1029	1415
421	1031	1412
422	1032	1408
423	1034	1405
424	1036	1402
425	1038	1399
426	1040	1395
427	1042	1392
428	1044	1389
429	1046	1386
430	1047	1383
431	1049	1380
432	1052	1377
433	1054	1374
434	1056	1371
435	1058	1368
436	1060	1365
437	1062	1362
438	1064	1360
439	1066	1357
440	1068	1354
441	1071	1352
442	1073	1349
443	1075	1347
444	1077	1344
445	1079	1341
446	1082	1339
447	1084	1336
448	1086	1333
449	1089	1331
450	1091	1328
451	1093	1325
452	1095	1322
453	1097	1319
454	1099	1316
455	1101	1314
456	1103	1311
457	1105	1308
458	1107	1305
459	1110	1303
460	1112	1300
461	1114	1298
462	1117	1295
463	1119	1293
464	1121	1290
465	1123	1287
466	1126	1285
467	1128	1283
468	1131	1280
469	1133	1278
470	1135	1275
471	1138	1273
472	1140	1270
473	1142	1267
474	1144	1264
475	1146	1262
476	1148	1259
477	1150	1256
478	1153	1254
479	1155	1252
480	1158	1249
481	1160	1247
482	1163	1245
483	1165	1242
484	1168	1240
485	1170	1237
486	1172	1234
487	1174	1232
488	1178	1231
489	1181	1229
490	1183	1226
491	1185	1224
492	1187	1221
493	1190	1218
494	1191	1216
495	1193	1213
496	1196	1210
497	1198	1207
498	1200	1204
499	1202	1202
500	1204	1199
501	1206	1196
502	1208	1193
503	1210	1191
504	1212	1188
505	1214	1185
506	1216	1182
507	1218	1179
508	1219	1176
509	1221	1173
510	1223	1171
511	1225	1168
512	1227	1165
513	1229	1162
514	1231	1160
515	1233	1157
516	1235	1154
517	1237	1151
518	1239	1148
519	1241	1146
520	1243	1143
521	1245	1140
522	1247	1137
523	1249	1134
524	1251	1131
525	1253	1129
526	1255	1126
527	1257	1124
528	1259	1121
529	1261	1118
530	1263	1115
531	1265	1113
532	1267	1110
533	1269	1108
534	1271	1105
535	1274	1102
536	1276	1100
537	1278	1097
538	1280	1094
539	1282	1092
540	1284	1089
541	1286	1086
542	1288	1084
543	1290	1081
544	1291	1078
545	1293	1075
546	1295	1073
547	1297	1070
548	1299	1067
549	1301	1065
550	1303	1062
551	1305	1059
552	1307	1057
553	1309	1054
554	1311	1051
555	1313	1049
556	1315	1046
557	1317	1043
558	1319	1040
559	1321	1038
560	1323	1035
561	1324	1032
562	1326	1029
563	1328	1027
564	1330	1024
565	1332	1021
566	1335	1019
567	1337	1017
568	1339	1014
569	1341	1011
570	1343	1009
571	1344	1006
572	1347	1003
573	1349	1001
574	1351	998
575	1353	996
576	1355	993
577	1359	992
578	1361	990
579	1364	987
580	1366	985
581	1368	982
582	1371	980
583	1373	978
584	1375	975
585	1377	973
586	1379	970
587	1381	968
588	1383	965
589	1385	963
590	1387	960
591	1389	957
592	1391	955
593	1394	952
594	1396	950
595	1398	947
596	1400	945
597	1402	942
598	1404	940
599	1406	937
600	1408	935
601	1410	932
602	1412	930
603	1414	927
604	1416	925
605	1419	922
606	1421	920
607	1423	917
608	1425	915
609	1427	912
610	1429	909
611	1431	907
612	1433	904
613	1435	902
614	1437	899
615	1439	897
616	1441	894
617	1443	892
618	1445	889
619	1447	887
620	1449	884
621	1451	882
622	1454	879
623	1456	877
624	1458	874
625	1460	872
626	1461	869
627	1463	867
628	1466	864
629	1468	862
630	1469	859
631	1471	856
632	1473	854
633	1475	851
634	1477	849
635	1479	846
636	1481	844
637	1483	841
638	1485	839
639	1487	836
640	1489	834
641	1491	831
642	1493	829
643	1496	827
644	1498	824
645	1500	822
646	1502	819
647	1504	817
648	1508	815
649	1510	813
650	1512	811
651	1515	808
652	1517	806
653	1519	804
654	1522	801
655	1524	799
656	1526	797
657	1528	794
658	1530	792
659	1533	789
660	1535	787
661	1537	785
662	1539	782
663	1542	780
664	1544	778
665	1547	775
666	1549	773
667	1551	771
668	1554	768
669	1556	766
670	1558	764
671	1561	761
672	1563	759
673	1565	757
674	1568	755
675	1570	752
676	1572	750
677	1575	748
678	1577	745
679	1580	743
680	1582	741
681	1584	738
682	1587	736
683	1589	734
684	1592	732
685	1594	729
686	1596	727
687	1599	725
688	1601	722
689	1604	720
690	1606	718
691	1608	716
692	1611	713
693	1614	711
694	1616	709
695	1618	707
696	1620	704
697	1623	702
698	1626	700
699	1628	697
700	1630	695
701	1632	692
702	1634	690
703	1636	687
704	1638	685
705	1639	682
706	1641	680
707	1643	677
708	1645	675
709	1647	673
710	1650	670
711	1652	668
712	1655	666
713	1658	664
714	1660	661
715	1663	659
716	1665	657
717	1667	654
718	1669	652
719	1671	650
720	1673	647
721	1675	645
722	1677	642
723	1680	640
724	1682	638
725	1684	635
726	1686	633
727	1688	630
728	1690	628
729	1691	625
730	1693	623
731	1695	620
732	1697	618
733	1699	615
734	1701	613
735	1703	610
736	1705	608
737	1707	606
738	1709	603
739	1711	601
740	1713	599
741	1716	596
742	1718	594
743	1720	591
744	1722	589
745	1724	587
746	1727	584
747	1729	582
748	1731	580
749	1734	578
750	1736	575
751	1738	573
752	1740	571
753	1742	568
754	1745	566
755	1747	563
756	1749	561
757	1751	559
758	1754	556
759	1756	554
760	1758	552
761	1760	549
762	1762	547
763	1764	545
764	1766	542
765	1769	540
766	1771	538
767	1772	535
768	1775	533
769	1777	530
770	1779	528
771	1781	526
772	1783	523
773	1786	521
774	1788	519
775	1790	516
776	1793	514
777	1795	512
778	1797	509
779	1799	507
780	1801	505
781	1803	502
782	1806	500
783	1808	498
784	1810	495
785	1812	493
786	1814	491
787	1817	488
788	1819	486
789	1821	484
790	1823	481
791	1825	479
792	1827	477
793	1829	474
794	1831	472
795	1834	470
796	1836	467
797	1838	465
798	1840	462
799	1842	460
800	1844	458
801	1846	455
802	1849	453
803	1850	451
804	1852	448
805	1854	446
806	1856	443
807	1857	441
808	1859	439
809	1861	436
810	1863	434
811	1865	431
812	1866	429
813	1868	427
814	1870	424
815	1872	422
816	1874	419
817	1875	417
818	1877	414
819	1879	412
820	1881	410
821	1882	407
822	1884	405
823	1886	402
824	1887	400
825	1889	398
826	1891	395
827	1892	393
828	1894	390
829	1896	388
830	1897	385
831	1899	383
832	1901	381
833	1903	378
834	1905	376
835	1906	374
836	1908	371
837	1910	369
838	1912	366
839	1914	364
840	1916	362
841	1918	359
842	1919	357
843	1921	355
844	1923	352
845	1925	350
846	1927	348
847	1928	345
848	1930	343
849	1932	341
850	1934	338
851	1936	336
852	1938	334
853	1940	331
854	1942	329
855	1944	327
856	1946	324
857	1948	322
858	1950	320
859	1952	317
860	1954	315
861	1956	313
862	1958	310
863	1960	308
864	1962	306
865	1964	303
866	1966	301
867	1968	299
868	1970	297
869	1972	294
870	1974	292
871	1976	290
872	1978	287
873	1980	285
874	1982	283
875	1984	280
876	1985	278
877	1987	276
878	1989	273
879	1991	271
880	1993	269
881	1996	267
882	1998	264
883	2000	262
884	2002	260
885	2004	257
886	2006	255
887	2009	253
888	2011	251
889	2013	248
890	2015	246
891	2018	244
892	2020	242
893	2022	239
894	2024	237
895	2026	235
896	2028	232
897	2030	230
898	2032	228
899	2034	226
900	2036	223
901	2038	221
902	2041	219
903	2043	217
904	2046	214
905	2048	212
906	2050	210
907	2052	207
908	2055	205
909	2057	203
910	2059	201
911	2061	198
912	2063	196
913	2065	194
914	2066	192
915	2068	189
916	2070	187
917	2072	185
918	2074	182
919	2076	180
920	2078	178
921	2080	175
922	2081	173
923	2083	171
924	2085	169
925	2086	166
926	2088	164
927	2089	162
928	2091	159
929	2093	157
930	2095	155
931	2096	152
932	2099	150
933	2101	148
934	2103	146
935	2105	143
936	2107	141
937	2109	139
938	2111	137
939	2113	134
940	2115	132
941	2117	130
942	2119	128
943	2121	125
944	2123	123
945	2125	121
946	2127	119
947	2129	116
948	2130	114
949	2132	112
950	2134	109
951	2136	107
952	2138	105
953	2140	103
954	2141	100
955	2143	98
956	2145	96
957	2147	94
958	2149	91
959	2151	89
960	2153	87
961	2155	85
962	2156	82
963	2158	80
964	2160	78
965	2162	76
966	2164	73
967	2166	71
968	2168	69
969	2169	67
970	2171	64
971	2173	62
972	2175	60
973	2177	58
974	2179	55
975	2181	53
976	2183	51
977	2185	49
978	2187	46
979	2188	44
980	2190	42
981	2192	40
982	2194	37
983	2196	35
984	2198	33
985	2200	31
986	2202	29
987	2204	26
988	2206	24
989	2208	22
990	2210	20
991	2212	17
992	2214	15
993	2215	13
994	2217	11
995	2219	8
996	2221	6
997	2223	4
998	2224	2
999	2226	0
